case_n_substeps,timestep,substep,process,value,n_substeps,sub_dt
1,2,0,diffusion,0.0,1,1.0
1,2,0,diffusion_change,0.0,1,1.0
1,2,0,uplift,0.014,1,1.0
1,2,0,uplift_change,0.014,1,1.0
1,2,0,deposition,0.014,1,1.0
1,3,0,diffusion,0.013999997623393413,1,1.0
1,3,0,diffusion_change,4.594772732430252e-09,1,1.0
1,3,0,uplift,0.027999997623393412,1,1.0
1,3,0,uplift_change,0.014000000000000002,1,1.0
1,3,0,deposition,0.013999997623393412,1,1.0
1,4,0,diffusion,0.027999992870180967,1,1.0
1,4,0,diffusion_change,9.189543258292243e-09,1,1.0
1,4,0,uplift,0.04199999287018097,1,1.0
1,4,0,uplift_change,0.014000000000000002,1,1.0
1,4,0,deposition,0.013999995246787557,1,1.0
10,2,0,diffusion,0.0,10,0.1
10,2,0,diffusion_change,0.0,10,0.1
10,2,0,uplift,0.0014000000000000002,10,0.1
10,2,0,uplift_change,0.0014000000000000002,10,0.1
10,2,0,deposition,0.0014000000000000002,10,0.1
10,2,1,diffusion,0.0013999999762339343,10,0.1
10,2,1,diffusion_change,4.594772739369146e-11,10,0.1
10,2,1,uplift,0.0027999999762339345,10,0.1
10,2,1,uplift_change,0.0014000000000000004,10,0.1
10,2,1,deposition,0.0027999999762339345,10,0.1
10,2,2,diffusion,0.0027999999287018035,10,0.1
10,2,2,diffusion_change,9.189545261897858e-11,10,0.1
10,2,2,uplift,0.004199999928701804,10,0.1
10,2,2,uplift_change,0.0014000000000000006,10,0.1
10,2,2,deposition,0.004199999928701804,10,0.1
10,2,3,diffusion,0.0041999998574036084,10,0.1
10,2,3,diffusion_change,1.3784317524218048e-10,10,0.1
10,2,3,uplift,0.005599999857403609,10,0.1
10,2,3,uplift_change,0.0014000000000000002,10,0.1
10,2,3,deposition,0.005599999857403609,10,0.1
10,2,4,diffusion,0.005599999762339349,10,0.1
10,2,4,diffusion_change,1.8379089569697804e-10,10,0.1
10,2,4,uplift,0.0069999997623393494,10,0.1
10,2,4,uplift_change,0.0014000000000000002,10,0.1
10,2,4,deposition,0.0069999997623393494,10,0.1
10,2,5,diffusion,0.006999999643509027,10,0.1
10,2,5,diffusion_change,2.2973861441705212e-10,10,0.1
10,2,5,uplift,0.008399999643509027,10,0.1
10,2,5,uplift_change,0.001400000000000001,10,0.1
10,2,5,deposition,0.008399999643509027,10,0.1
10,2,6,diffusion,0.008399999500912643,10,0.1
10,2,6,diffusion_change,2.7568633140240273e-10,10,0.1
10,2,6,uplift,0.009799999500912643,10,0.1
10,2,6,uplift_change,0.0014000000000000002,10,0.1
10,2,6,deposition,0.009799999500912643,10,0.1
10,2,7,diffusion,0.009799999334550197,10,0.1
10,2,7,diffusion_change,3.216340457856681e-10,10,0.1
10,2,7,uplift,0.011199999334550197,10,0.1
10,2,7,uplift_change,0.0014000000000000002,10,0.1
10,2,7,deposition,0.011199999334550197,10,0.1
10,2,8,diffusion,0.01119999914442169,10,0.1
10,2,8,diffusion_change,3.6758175669948656e-10,10,0.1
10,2,8,uplift,0.01259999914442169,10,0.1
10,2,8,uplift_change,0.0014000000000000002,10,0.1
10,2,8,deposition,0.01259999914442169,10,0.1
10,2,9,diffusion,0.012599998930527124,10,0.1
10,2,9,diffusion_change,4.135294658785815e-10,10,0.1
10,2,9,uplift,0.013999998930527124,10,0.1
10,2,9,uplift_change,0.0014000000000000002,10,0.1
10,2,9,deposition,0.013999998930527124,10,0.1
10,3,0,diffusion,0.013999998692866498,10,0.1
10,3,0,diffusion_change,4.59477173322953e-10,10,0.1
10,3,0,uplift,0.015399998692866498,10,0.1
10,3,0,uplift_change,0.0014000000000000002,10,0.1
10,3,0,deposition,0.0013999997623393746,10,0.1
10,3,1,diffusion,0.015399998431439814,10,0.1
10,3,1,diffusion_change,5.05424879032601e-10,10,0.1
10,3,1,uplift,0.016799998431439814,10,0.1
10,3,1,uplift_change,0.0014000000000000002,10,0.1
10,3,1,deposition,0.0027999995009126907,10,0.1
10,3,2,diffusion,0.016799998146247073,10,0.1
10,3,2,diffusion_change,5.513725830075256e-10,10,0.1
10,3,2,uplift,0.018199998146247072,10,0.1
10,3,2,uplift_change,0.001400000000000002,10,0.1
10,3,2,deposition,0.004199999215719948,10,0.1
10,3,3,diffusion,0.018199997837288272,10,0.1
10,3,3,diffusion_change,5.973202835130031e-10,10,0.1
10,3,3,uplift,0.019599997837288274,10,0.1
10,3,3,uplift_change,0.001400000000000002,10,0.1
10,3,3,deposition,0.005599998906761151,10,0.1
10,3,4,diffusion,0.01959999750456342,10,0.1
10,3,4,diffusion_change,6.432679805490338e-10,10,0.1
10,3,4,uplift,0.020999997504563418,10,0.1
10,3,4,uplift_change,0.001400000000000002,10,0.1
10,3,4,deposition,0.0069999985740362945,10,0.1
10,3,5,diffusion,0.020999997148072505,10,0.1
10,3,5,diffusion_change,6.892156775850644e-10,10,0.1
10,3,5,uplift,0.022399997148072504,10,0.1
10,3,5,uplift_change,0.001400000000000002,10,0.1
10,3,5,deposition,0.00839999821754538,10,0.1
10,3,6,diffusion,0.02239999676781554,10,0.1
10,3,6,diffusion_change,7.351633711516481e-10,10,0.1
10,3,6,uplift,0.023799996767815537,10,0.1
10,3,6,uplift_change,0.001400000000000002,10,0.1
10,3,6,deposition,0.009799997837288413,10,0.1
10,3,7,diffusion,0.023799996363792517,10,0.1
10,3,7,diffusion_change,7.811110647182318e-10,10,0.1
10,3,7,uplift,0.02519999636379252,10,0.1
10,3,7,uplift_change,0.001400000000000002,10,0.1
10,3,7,deposition,0.011199997433265396,10,0.1
10,3,8,diffusion,0.025199995936003444,10,0.1
