n_substeps,total_loops,max_uplift_change,max_diffusion_change,max_elevation
1,3,0.014000000000000002,9.189543258292243e-09,0.04199999287018097
2,6,0.007000000000000003,5.743463156460127e-09,0.041999991087727125
3,9,0.00466666666666667,4.084240140533879e-09,0.04199999049357592
4,12,0.003500000000000003,3.158904353373071e-09,0.04199999019650034
5,15,0.002800000000000004,2.573071124223336e-09,0.041999990018254996
6,18,0.002333333333333335,2.1697523985841904e-09,0.04199998989942475
10,30,0.001400000000000002,1.3324831932282066e-09,0.041999989661764284
15,45,0.0009333333333333346,8.985327135113685e-10,0.0419999895429341
20,60,0.000700000000000001,6.777285052605997e-10,0.04199998948351895
30,90,0.0004666666666666673,4.5437165141493097e-10,0.041999989424103816
40,120,0.0003500000000000031,3.4173597979192394e-10,0.041999989394396364
