n_substeps,L2_error,RMS_error,Max_error
1,0.05107361634690868,0.029487366146375395,0.0409499928746371
2,0.06343694602177521,0.025898024765638086,0.03989999111000781
3,0.07287370715432076,0.024291235718106916,0.038849990547049566
4,0.08030954166777372,0.02318336775019231,0.03779999029453536
5,0.08627338513603483,0.022275692256853427,0.036749990174219795
6,0.09108228346270152,0.021468300094143862,0.035699990126687745
10,0.10209864182581119,0.01864057640621241,0.03149999030790415
15,0.10335867320805815,0.015407801290493621,0.02624999101345927
20,0.09508795871199664,0.012275802683880715,0.020999992112639605
30,0.057989886530026,0.006112670756320015,0.010499995373045863
40,0.0,0.0,0.0
