n_substeps,process,max,mean,std
1,diffusion,0.027999992870180967,0.013999996831191458,0.013999996435090499
1,diffusion_change,9.189543258292243e-09,4.5947719969074985e-09,4.5947716291461654e-09
1,uplift,0.04199999287018097,0.02799999683119146,0.0139999964350905
1,uplift_change,0.014000000000000002,0.014000000000000004,3.0046291974743185e-18
1,deposition,0.014,0.013999997623393656,2.3766062217170465e-09
2,diffusion,0.034999991087727125,0.017499996534115925,0.013095797519041621
2,diffusion_change,5.743463156460127e-09,2.8717320380763447e-09,2.1490071345496965e-09
2,uplift,0.041999991087727125,0.024499996534115925,0.013095797519041623
2,uplift_change,0.007000000000000003,0.007,1.3437110265466432e-18
2,deposition,0.013999999405848354,0.010499997920469647,0.003834056926245969
3,diffusion,0.03733332382690925,0.018666663145768647,0.012780189754152032
3,diffusion_change,4.084240140533879e-09,2.0421204513278632e-09,1.39814403452407e-09
3,uplift,0.04199999049357592,0.023333329812435313,0.012780189754152032
3,uplift_change,0.00466666666666667,0.004666666666666666,1.4052866289058055e-18
3,deposition,0.01399999920779783,0.009333331396839518,0.00404145085522707
4,diffusion,0.038499990196500335,0.019249996459847114,0.012619426250758407
4,diffusion_change,3.158904353373071e-09,1.5794524945384723e-09,1.0354174209579089e-09
4,uplift,0.04199999019650034,0.022749996459847117,0.012619426250758408
4,uplift_change,0.003500000000000003,0.003500000000000001,1.4735870029751115e-18
4,deposition,0.013999999108772575,0.008749998143276557,0.00408711841611904
5,diffusion,0.039199990018255,0.01959999645093487,0.012521977485447299
5,diffusion_change,2.573071124223336e-09,1.2865358289410508e-09,8.219374198409778e-10
5,uplift,0.041999990018254996,0.022399996450934875,0.0125219774854473
5,uplift_change,0.002800000000000004,0.0028000000000000013,1.5892242059016992e-18
5,deposition,0.013999999049357425,0.00839999819377945,0.0040987792626855975
6,diffusion,0.03966665656609142,0.019833329779426985,0.012456588122135534
6,diffusion_change,2.1697523985841904e-09,1.0848764313354534e-09,6.813710629312204e-10
6,uplift,0.04199998989942475,0.022166663112760318,0.012456588122135534
6,uplift_change,0.002333333333333335,0.002333333333333333,4.82009337154063e-19
6,deposition,0.01399999900974732,0.00816666489521499,0.004100453258778533
10,diffusion,0.040599989661764285,0.02029999643905189,0.012324768664826374
10,diffusion_change,1.3324831932282066e-09,6.662417474338535e-10,4.0449633793571963e-10
10,uplift,0.041999989661764284,0.021699996439051895,0.012324768664826374
10,uplift_change,0.001400000000000002,0.0014000000000000004,1.350571345087891e-18
10,deposition,0.013999998930527124,0.007699998300726744,0.004089936147178369
15,diffusion,0.04106665620960077,0.02053332977018469,0.012258327379376252
15,diffusion_change,8.985327135113685e-10,4.492664607933154e-10,2.682104947698843e-10
15,uplift,0.0419999895429341,0.021466663103518024,0.012258327379376254
15,uplift_change,0.0009333333333333346,0.000933333333333334,7.318820964097674e-19
15,deposition,0.01399999889091702,0.007466665004802969,0.004078025816611069
20,diffusion,0.04129998948351895,0.020649996436081165,0.01222497132467822
20,diffusion_change,6.777285052605997e-10,3.3886433168309423e-10,2.0061050023259706e-10
20,uplift,0.04199998948351895,0.02134999643608116,0.012224971324678218
20,uplift_change,0.000700000000000001,0.0006999999999999997,6.979490156408144e-19
20,deposition,0.013999998871111977,0.007349998357171151,0.004070458896714365
30,diffusion,0.04153332275743715,0.020766663102197706,0.012191524008032969
30,diffusion_change,4.5437165141493097e-10,2.2718587832439925e-10,1.3337442100871744e-10
30,uplift,0.041999989424103816,0.02123332976886437,0.012191524008032967
30,uplift_change,0.0004666666666666673,0.00046666666666666634,1.4751780999973794e-18
30,deposition,0.013999998851306934,0.0072333317097593944,0.004061833757113301
40,diffusion,0.04164998939439636,0.02082499643533849,0.012174765891509546
40,diffusion_change,3.4173597979192394e-10,1.708680302612606e-10,9.989331585503424e-11
40,uplift,0.041999989394396364,0.021174996435338492,0.012174765891509547
40,uplift_change,0.0003500000000000031,0.00035000000000000065,1.4725628487893228e-18
40,deposition,0.013999998841404399,0.007174998386136054,0.004057127769108497
