# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.100000 0.100000 10 5.171289323221868e-04 1.800000000672593e-03 2.183590470519203e-03 2.426394358456680e-03
2 2 0.200000 0.100000 10 1.187224326105612e-03 1.800000000672593e-03 1.606580894827972e-03 3.850341304942019e-03
2 3 0.300000 0.100000 10 1.409591519295948e-03 1.800000000672593e-03 1.490691628953832e-03 5.259917291719753e-03
2 4 0.400000 0.100000 10 1.516215111895552e-03 1.800000000672593e-03 1.396314359181555e-03 6.629124851299397e-03
2 5 0.500000 0.100000 10 1.579395650768288e-03 1.800000000672593e-03 1.303240894626295e-03 7.862038293577279e-03
2 6 0.600000 0.100000 10 1.620983108904230e-03 1.800000000672593e-03 1.197060750338368e-03 8.963223749380602e-03
2 7 0.700000 0.100000 10 1.650427176273466e-03 1.800000000672593e-03 1.109773538691444e-03 1.002794599666194e-02
2 8 0.800000 0.100000 10 1.672457387955528e-03 1.800000000672593e-03 1.022688546719858e-03 1.101707168644755e-02
2 9 0.900000 0.100000 10 1.689653590012829e-03 1.800000000672593e-03 9.388634751094152e-04 1.191284195069670e-02
2 10 1.000000 0.100000 10 1.703516119116036e-03 1.800000000672593e-03 8.600234218891101e-04 1.272377278497668e-02
3 11 1.100000 0.100000 10 1.714966666268749e-03 1.800000000672593e-03 7.941290162529809e-04 1.345817067500625e-02
3 12 1.200000 0.100000 10 1.724600466652649e-03 1.800000000672593e-03 7.323579369324026e-04 1.412376556156592e-02
3 13 1.300000 0.100000 10 1.732820056654051e-03 1.800000000672593e-03 6.747668611363292e-04 1.472758182860275e-02
3 14 1.400000 0.100000 10 1.739909272743375e-03 1.800000000672593e-03 6.213403983972299e-04 1.527592449603890e-02
3 15 1.500000 0.100000 10 1.746075774006789e-03 1.800000000672593e-03 5.719458434303454e-04 1.581510343409900e-02
3 16 1.600000 0.100000 10 1.751476380981024e-03 1.800000000672593e-03 5.263849555662888e-04 1.631876908642418e-02
3 17 1.700000 0.100000 10 1.756232722839655e-03 1.800000000672593e-03 4.865923668947152e-04 1.677988156213240e-02
3 18 1.800000 0.100000 10 1.760441244372026e-03 1.800000000672593e-03 4.499146418592836e-04 1.720223646619898e-02
3 19 1.900000 0.100000 10 1.764179827095607e-03 1.800000000672593e-03 4.159043894330326e-04 1.758927979752878e-02
3 20 2.000000 0.100000 10 1.767512313871852e-03 1.800000000672593e-03 3.844026814877055e-04 1.794413680513423e-02
4 21 2.100000 0.100000 10 1.770491694871425e-03 1.800000000672593e-03 3.552494559744650e-04 1.826964067059507e-02
4 22 2.200000 0.100000 10 1.773162412693743e-03 1.800000000672593e-03 3.282873286602483e-04 1.856835984215469e-02
4 23 2.300000 0.100000 10 1.775562070916214e-03 1.800000000672593e-03 3.033640651049149e-04 1.884262345985924e-02
4 24 2.400000 0.100000 10 1.777722727509766e-03 1.800000000672593e-03 2.803341206111358e-04 1.909454466046206e-02
4 25 2.500000 0.100000 10 1.779671892090170e-03 1.800000000672593e-03 2.590595315494076e-04 1.932604174532934e-02
4 26 2.600000 0.100000 10 1.781433307074485e-03 1.800000000672593e-03 2.395838217004453e-04 1.953885729863987e-02
4 27 2.700000 0.100000 10 1.783027567977334e-03 1.800000000672593e-03 2.219953821488221e-04 1.973457539458911e-02
4 28 2.800000 0.100000 10 1.784472621833151e-03 1.800000000672593e-03 2.056846195157593e-04 1.991463705338952e-02
4 29 2.900000 0.100000 10 1.785784171843693e-03 1.800000000672593e-03 1.905631127159697e-04 2.008035410978827e-02
4 30 3.000000 0.100000 10 1.786976008888787e-03 1.800000000672593e-03 1.765474947367680e-04 2.023292165239085e-02
