# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.050000 0.050000 20 4.697548852187668e-04 7.000000000000001e-04 1.033614272890052e-03 1.330809588862781e-03
2 2 0.100000 0.050000 20 3.984675518427118e-04 7.000000000000002e-04 7.190625951341277e-04 1.868496280561568e-03
2 3 0.150000 0.050000 20 4.853164397931576e-04 7.000000000000003e-04 6.161820490237964e-04 2.450667914668204e-03
2 4 0.200000 0.050000 20 5.292317786770443e-04 7.000000000000001e-04 5.750681526513566e-04 2.994667248081367e-03
2 5 0.250000 0.050000 20 5.577395760834347e-04 7.000000000000001e-04 5.547692347720899e-04 3.502175046817488e-03
2 6 0.300000 0.050000 20 5.786127720904875e-04 7.000000000000001e-04 5.317666102342264e-04 4.032444618876405e-03
2 7 0.350000 0.050000 20 5.946813117722607e-04 7.000000000000001e-04 5.140787895249344e-04 4.539120682368400e-03
2 8 0.400000 0.050000 20 6.073932369284507e-04 7.000000000000001e-04 4.977470188765928e-04 5.020012608802909e-03
2 9 0.450000 0.050000 20 6.176538322231347e-04 7.000000000000001e-04 4.794835127580567e-04 5.475277733094802e-03
2 10 0.500000 0.050000 20 6.260799632569777e-04 7.000000000000003e-04 4.601402348432216e-04 5.905594830133609e-03
2 11 0.550000 0.050000 20 6.331082538278119e-04 7.000000000000001e-04 4.403456214114457e-04 6.311951119380241e-03
2 12 0.600000 0.050000 20 6.390544574506503e-04 7.000000000000001e-04 4.229280553736982e-04 6.695502091901218e-03
2 13 0.650000 0.050000 20 6.441505295039667e-04 7.000000000000001e-04 4.068133266187206e-04 7.063979407634912e-03
2 14 0.700000 0.050000 20 6.485691697020795e-04 7.000000000000001e-04 3.907004021688597e-04 7.446058670859772e-03
2 15 0.750000 0.050000 20 6.524405656778143e-04 7.000000000000001e-04 3.747661918942404e-04 7.809808046045385e-03
2 16 0.800000 0.050000 20 6.558640353761156e-04 7.000000000000005e-04 3.591397311263015e-04 8.155954311604189e-03
2 17 0.850000 0.050000 20 6.589162377729232e-04 7.000000000000005e-04 3.439125800143300e-04 8.485265907405570e-03
2 18 0.900000 0.050000 20 6.616570308575608e-04 7.000000000000001e-04 3.291473375608023e-04 8.798526421212430e-03
2 19 0.950000 0.050000 20 6.641336932396527e-04 7.000000000000001e-04 3.148844610038615e-04 9.096516324645620e-03
2 20 1.000000 0.050000 20 6.663839942895678e-04 7.000000000000001e-04 3.011476450947570e-04 9.380000652767034e-03
3 21 1.050000 0.050000 20 6.684384459911328e-04 7.000000000000001e-04 2.892399761713314e-04 9.649720943308460e-03
3 22 1.100000 0.050000 20 6.703219682083787e-04 7.000000000000005e-04 2.777198827565702e-04 9.906390211747114e-03
3 23 1.150000 0.050000 20 6.720551301245483e-04 7.000000000000001e-04 2.665809295996305e-04 1.015069007560404e-02
3 24 1.200000 0.050000 20 6.736550831739274e-04 7.000000000000001e-04 2.558282810963645e-04 1.038326938705923e-02
