# loop elapsed_time max_elev_before_diffusion max_elev_after_diffusion max_elev_after_uplift max_diffusion_change max_uplift_change max_total_change
1 0.000000 9.988470065678664e-04 9.988470065678664e-04 4.017273704027134e-03 5.634408418741599e-04 3.500000000000000e-03 3.779315863568536e-03
2 0.250000 4.017273704027134e-03 3.230355549480248e-03 6.230355549480248e-03 2.868606729933835e-03 3.500000000000001e-03 2.664278333141237e-03
3 0.500000 6.230355549480248e-03 5.424579107760843e-03 8.264534237458099e-03 3.163252622020556e-03 3.500000000000001e-03 2.205436794181706e-03
4 0.750000 8.264534237458099e-03 7.155919067044250e-03 9.905919067044250e-03 3.278943726609727e-03 3.500000000000001e-03 1.796363704895986e-03
5 1.000000 9.905919067044250e-03 8.508584217609321e-03 1.125382402836040e-02 3.342198658372727e-03 3.500000000000000e-03 1.445807100027568e-03
6 1.250000 1.125382402836040e-02 9.656903841177036e-03 1.230742668631681e-02 3.382673056735684e-03 3.500000000000001e-03 1.176524149347713e-03
7 1.500000 1.230742668631681e-02 1.057410082026822e-02 1.313625601945419e-02 3.410694943666687e-03 3.500000000000000e-03 9.543886376041696e-04
8 1.750000 1.313625601945419e-02 1.130867006721878e-02 1.380867006721878e-02 3.430963106873451e-03 3.500000000000001e-03 7.784488807896089e-04
9 2.000000 1.380867006721878e-02 1.189877796553180e-02 1.439877796553180e-02 3.446031087754893e-03 3.500000000000001e-03 6.381463152421423e-04
10 2.250000 1.439877796553180e-02 1.237425593690013e-02 1.487425593690013e-02 3.457448257213729e-03 3.500000000000001e-03 5.229678717589854e-04
11 2.500000 1.487425593690013e-02 1.275844000745488e-02 1.525844000745488e-02 3.466221994957123e-03 3.500000000000001e-03 4.286593953507067e-04
12 2.750000 1.525844000745488e-02 1.306964873715499e-02 1.556964873715499e-02 3.473038334436054e-03 3.500000000000001e-03 3.521678538315996e-04
