case_n_substeps,timestep,substep,process,value,n_substeps,sub_dt
1,2,0,diffusion,0.0,1,1.0
1,2,0,uplift,0.014,1,1.0
1,2,0,deposition,0.014,1,1.0
1,3,0,diffusion,0.005811528230866015,1,1.0
1,3,0,uplift,0.016648757334992374,1,1.0
1,3,0,deposition,0.005811528230866015,1,1.0
1,4,0,diffusion,0.008331196503657717,1,1.0
1,4,0,uplift,0.018530918906432436,1,1.0
1,4,0,deposition,0.0025580685258563586,1,1.0
20,2,0,diffusion,0.0,20,0.05
20,2,0,uplift,0.0007000000000000001,20,0.05
20,2,0,deposition,0.0007000000000000001,20,0.05
20,2,1,diffusion,0.00063875,20,0.05
20,2,1,uplift,0.00128875,20,0.05
20,2,1,deposition,0.00128875,20,0.05
20,2,2,diffusion,0.0012349300000000002,20,0.05
20,2,2,uplift,0.0018849300000000002,20,0.05
20,2,2,deposition,0.0018849300000000002,20,0.05
20,2,3,diffusion,0.00178804925625,20,0.05
20,2,3,uplift,0.00243804925625,20,0.05
20,2,3,deposition,0.00243804925625,20,0.05
20,2,4,diffusion,0.0023400186686875,20,0.05
20,2,4,uplift,0.002949941098625,20,0.05
20,2,4,deposition,0.002949941098625,20,0.05
20,2,5,diffusion,0.002880063663479844,20,0.05
20,2,5,uplift,0.0034800636634798442,20,0.05
20,2,5,deposition,0.0034800636634798442,20,0.05
20,2,6,diffusion,0.0033948075658856193,20,0.05
20,2,6,uplift,0.003994807565885619,20,0.05
20,2,6,deposition,0.003994807565885619,20,0.05
20,2,7,diffusion,0.003883362656155021,20,0.05
20,2,7,uplift,0.004483362656155021,20,0.05
20,2,7,deposition,0.004483362656155021,20,0.05
20,2,8,diffusion,0.004345770731402246,20,0.05
20,2,8,uplift,0.004945770731402246,20,0.05
20,2,8,deposition,0.004945770731402246,20,0.05
20,2,9,diffusion,0.0047826662257663185,20,0.05
20,2,9,uplift,0.005382666225766318,20,0.05
20,2,9,deposition,0.005382666225766318,20,0.05
20,2,10,diffusion,0.005195038228411685,20,0.05
20,2,10,uplift,0.005795038228411685,20,0.05
20,2,10,deposition,0.005795038228411685,20,0.05
20,2,11,diffusion,0.005585254507870081,20,0.05
20,2,11,uplift,0.006184069730992163,20,0.05
20,2,11,deposition,0.006184069730992163,20,0.05
20,2,12,diffusion,0.005990877902183763,20,0.05
20,2,12,uplift,0.00655103210623963,20,0.05
20,2,12,deposition,0.00655103210623963,20,0.05
20,2,13,diffusion,0.006377180221611938,20,0.05
20,2,13,uplift,0.006927180221611938,20,0.05
20,2,13,deposition,0.006927180221611938,20,0.05
20,2,14,diffusion,0.006744833931789872,20,0.05
20,2,14,uplift,0.007294833931789872,20,0.05
20,2,14,deposition,0.007294833931789872,20,0.05
20,2,15,diffusion,0.007094590183336258,20,0.05
20,2,15,uplift,0.007644590183336258,20,0.05
20,2,15,deposition,0.007644590183336258,20,0.05
20,2,16,diffusion,0.0074272406156198015,20,0.05
20,2,16,uplift,0.007977240615619802,20,0.05
20,2,16,deposition,0.007977240615619802,20,0.05
20,2,17,diffusion,0.007743590623825464,20,0.05
20,2,17,uplift,0.008293590623825463,20,0.05
20,2,17,deposition,0.008293590623825463,20,0.05
20,2,18,diffusion,0.008044440975289075,20,0.05
20,2,18,uplift,0.008594440975289075,20,0.05
20,2,18,deposition,0.008594440975289075,20,0.05
20,2,19,diffusion,0.008330575453125596,20,0.05
20,2,19,uplift,0.008880575453125596,20,0.05
20,2,19,deposition,0.008880575453125596,20,0.05
20,3,0,diffusion,0.00860275281990263,20,0.05
20,3,0,uplift,0.00915275281990263,20,0.05
20,3,0,deposition,0.00029086003333120974,20,0.05
