n_substeps,process,max,mean,std
1,diffusion,0.008331196503657717,0.004714241578174578,0.0042726148076173125
1,uplift,0.018530918906432436,0.01639322541380827,0.002276242288559097
1,deposition,0.014,0.007456532252240792,0.005895674485375198
20,diffusion,0.01372075468709464,0.009432617211490262,0.003886244846460141
20,uplift,0.01422075468709464,0.009971421216196964,0.0038390984561210454
20,deposition,0.008880575453125596,0.002914846191698284,0.002400253835806328
2,diffusion,0.011124512865955751,0.007071323202889643,0.004207217193644781
2,uplift,0.016124512865955752,0.012608074809700462,0.00348589284916093
2,deposition,0.010119428876316023,0.004710845104593077,0.0033513848302890127
3,diffusion,0.012104022554737965,0.007938921324110927,0.0041176780576654476
3,uplift,0.015437355888071297,0.011579660380347193,0.0037086099822658284
3,deposition,0.009604023081515378,0.0039794535925201015,0.0029113428443221243
5,diffusion,0.012868258726234828,0.00863591591707078,0.004019522538844142
5,uplift,0.014868258726234828,0.010801793074539136,0.003808304730840381
5,deposition,0.009280738471676868,0.003453362844509689,0.0026538560465856204
9,diffusion,0.013371372789083588,0.00910462308700698,0.003943290461529789
9,uplift,0.0144824839001947,0.010304448507650705,0.003832639136665101
9,deposition,0.009046612805684973,0.0031290241654985053,0.002502290496546234
