# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.200000 0.200000 5 5.588903671735757e-04 3.600000001345186e-03 3.976372626822025e-03 4.214265448196534e-03
2 2 0.400000 0.200000 5 2.802297953451731e-03 3.600000001345185e-03 2.987005439703060e-03 6.768654933251272e-03
2 3 0.600000 0.200000 5 3.156534297235547e-03 3.600000001345185e-03 2.608109649186811e-03 9.235387815235878e-03
2 4 0.800000 0.200000 5 3.300306792101976e-03 3.600000001345185e-03 2.219653276374559e-03 1.129552828807753e-02
2 5 1.000000 0.200000 5 3.379135161728838e-03 3.600000001345185e-03 1.877572595118544e-03 1.308681018168068e-02
3 6 1.200000 0.200000 5 3.429889265303020e-03 3.600000001345186e-03 1.588042244392608e-03 1.455522870728419e-02
3 7 1.400000 0.200000 5 3.465648628097264e-03 3.600000001345186e-03 1.349229503534100e-03 1.576244401779201e-02
3 8 1.600000 0.200000 5 3.492182106955712e-03 3.600000001345186e-03 1.143535670271666e-03 1.677631117905596e-02
3 9 1.800000 0.200000 5 3.512504150655311e-03 3.600000001345185e-03 9.728347683101643e-04 1.769812930149912e-02
3 10 2.000000 0.200000 5 3.528399973141219e-03 3.600000001345186e-03 8.314452441732963e-04 1.847181628920647e-02
4 11 2.200000 0.200000 5 3.541022297290274e-03 3.600000001345186e-03 7.101350696629358e-04 1.912244102497516e-02
4 12 2.400000 0.200000 5 3.551160328624422e-03 3.600000001345186e-03 6.063732761056283e-04 1.967060750779011e-02
4 13 2.600000 0.200000 5 3.559376785540410e-03 3.600000001345186e-03 5.177794516852165e-04 2.013326609610416e-02
4 14 2.800000 0.200000 5 3.566084898487544e-03 3.600000001345186e-03 4.436802272306806e-04 2.052439304797116e-02
4 15 3.000000 0.200000 5 3.571595007493517e-03 3.600000001345185e-03 3.808343934138571e-04 2.085554426683305e-02
