# aspect_step loop time dt n_substeps max_diffusion_change max_uplift_change max_total_change max_elevation
2 1 0.025000 0.025000 40 3.437504195321605e-04 3.500000000000001e-04 6.187504195321606e-04 1.117723671817456e-03
2 2 0.050000 0.025000 40 1.739661004115464e-04 3.500000000000002e-04 4.442808199866319e-04 1.326785361861920e-03
2 3 0.075000 0.025000 40 2.057655803040016e-04 3.500000000000001e-04 3.755718948636770e-04 1.572202154962051e-03
2 4 0.100000 0.025000 40 2.295919101976309e-04 3.500000000000001e-04 3.363531906135160e-04 1.856621159410798e-03
2 5 0.125000 0.025000 40 2.459029824141705e-04 3.500000000000001e-04 3.126371376743777e-04 2.146344238724141e-03
2 6 0.150000 0.025000 40 2.575694596935450e-04 3.500000000000001e-04 3.000161144585413e-04 2.427554528161199e-03
2 7 0.175000 0.025000 40 2.665120378413733e-04 3.500000000000001e-04 2.892642328989159e-04 2.699217921417592e-03
2 8 0.200000 0.025000 40 2.737749474103308e-04 3.500000000000001e-04 2.821766903121073e-04 2.961041543701565e-03
2 9 0.225000 0.025000 40 2.799069900588068e-04 3.500000000000001e-04 2.772430032492437e-04 3.218284257391619e-03
2 10 0.250000 0.025000 40 2.852080668556895e-04 3.500000000000001e-04 2.717172197299425e-04 3.487503825556100e-03
2 11 0.275000 0.025000 40 2.898562550636857e-04 3.500000000000001e-04 2.657927714622386e-04 3.752313208122765e-03
2 12 0.300000 0.025000 40 2.939686292609521e-04 3.500000000000003e-04 2.603694682065988e-04 4.011920245075397e-03
2 13 0.325000 0.025000 40 2.976297419844695e-04 3.500000000000001e-04 2.568429561592327e-04 4.265181833118860e-03
2 14 0.350000 0.025000 40 3.009050876671966e-04 3.500000000000001e-04 2.529353858338364e-04 4.512015378526061e-03
2 15 0.375000 0.025000 40 3.038477227800401e-04 3.500000000000001e-04 2.487208986350718e-04 4.752397772055167e-03
2 16 0.400000 0.025000 40 3.065017643283569e-04 3.500000000000001e-04 2.442650869842545e-04 4.986352127100613e-03
2 17 0.425000 0.025000 40 3.089044350284842e-04 3.500000000000001e-04 2.396252570775340e-04 5.213937507478476e-03
2 18 0.450000 0.025000 40 3.110873998712254e-04 3.500000000000001e-04 2.348509325236399e-04 5.435240811696642e-03
2 19 0.475000 0.025000 40 3.130777290564117e-04 3.500000000000001e-04 2.299845140765373e-04 5.650370280526463e-03
2 20 0.500000 0.025000 40 3.148986417345276e-04 3.500000000000005e-04 2.250620104169935e-04 5.859450265498571e-03
2 21 0.525000 0.025000 40 3.165701054506213e-04 3.500000000000001e-04 2.201137776081672e-04 6.062616998446389e-03
