n_substeps,total_loops,max_uplift_change,max_diffusion_change,max_elevation
1,0,0.014000000000000002,9.189543258292243e-09,
2,0,0.007000000000000003,5.743463156460127e-09,
3,0,0.00466666666666667,4.084240140533879e-09,
4,0,0.003500000000000003,3.158904353373071e-09,
5,0,0.002800000000000004,2.573071124223336e-09,
6,0,0.002333333333333335,2.1697523985841904e-09,
10,0,0.001400000000000002,1.3324831932282066e-09,
15,0,0.0009333333333333346,8.985327135113685e-10,
20,0,0.000700000000000001,6.777285052605997e-10,
30,0,0.0004666666666666673,4.5437165141493097e-10,
40,0,0.0003500000000000031,3.4173597979192394e-10,
