n_substeps,process,max,mean,std
1,diffusion_change,9.189543258292243e-09,4.5947719969074985e-09,4.5947716291461654e-09
1,uplift_change,0.014000000000000002,0.014000000000000004,3.0046291974743185e-18
2,diffusion_change,5.743463156460127e-09,2.8717320380763447e-09,2.1490071345496965e-09
2,uplift_change,0.007000000000000003,0.007,1.3437110265466432e-18
3,diffusion_change,4.084240140533879e-09,2.0421204513278632e-09,1.39814403452407e-09
3,uplift_change,0.00466666666666667,0.004666666666666666,1.4052866289058055e-18
4,diffusion_change,3.158904353373071e-09,1.5794524945384723e-09,1.0354174209579089e-09
4,uplift_change,0.003500000000000003,0.003500000000000001,1.4735870029751115e-18
5,diffusion_change,2.573071124223336e-09,1.2865358289410508e-09,8.219374198409778e-10
5,uplift_change,0.002800000000000004,0.0028000000000000013,1.5892242059016992e-18
6,diffusion_change,2.1697523985841904e-09,1.0848764313354534e-09,6.813710629312204e-10
6,uplift_change,0.002333333333333335,0.002333333333333333,4.82009337154063e-19
10,diffusion_change,1.3324831932282066e-09,6.662417474338535e-10,4.0449633793571963e-10
10,uplift_change,0.001400000000000002,0.0014000000000000004,1.350571345087891e-18
15,diffusion_change,8.985327135113685e-10,4.492664607933154e-10,2.682104947698843e-10
15,uplift_change,0.0009333333333333346,0.000933333333333334,7.318820964097674e-19
20,diffusion_change,6.777285052605997e-10,3.3886433168309423e-10,2.0061050023259706e-10
20,uplift_change,0.000700000000000001,0.0006999999999999997,6.979490156408144e-19
30,diffusion_change,4.5437165141493097e-10,2.2718587832439925e-10,1.3337442100871744e-10
30,uplift_change,0.0004666666666666673,0.00046666666666666634,1.4751780999973794e-18
40,diffusion_change,3.4173597979192394e-10,1.708680302612606e-10,9.989331585503424e-11
40,uplift_change,0.0003500000000000031,0.00035000000000000065,1.4725628487893228e-18
