# loop elapsed_time max_elev_before_diffusion max_elev_after_diffusion max_elev_after_uplift max_diffusion_change max_uplift_change max_total_change
1 0.000000 9.988470065678664e-04 9.988470065678664e-04 2.284100123984067e-03 5.365074396281340e-04 1.750000000000000e-03 2.127674845593941e-03
2 0.125000 2.284100123984067e-03 2.038938461269507e-03 3.621078900290692e-03 1.248593019776991e-03 1.750000000000000e-03 1.463512734625304e-03
3 0.250000 3.621078900290692e-03 3.366172672858643e-03 4.866172672858642e-03 1.441260705973704e-03 1.750000000000000e-03 1.330708130080782e-03
4 0.375000 4.866172672858642e-03 4.537101556920897e-03 6.037101556920898e-03 1.531008476253280e-03 1.750000000000000e-03 1.223752224964207e-03
5 0.500000 6.037101556920898e-03 5.601395313045691e-03 7.053653611850036e-03 1.582700652336306e-03 1.750000000000000e-03 1.101608021828048e-03
6 0.625000 7.053653611850036e-03 6.580177949665702e-03 7.955177949665703e-03 1.616209879501302e-03 1.750000000000000e-03 9.971004570069192e-04
7 0.750000 7.955177949665703e-03 7.445157945658489e-03 8.820157945658489e-03 1.639816921067184e-03 1.750000000000000e-03 8.977122349703879e-04
8 0.875000 8.820157945658489e-03 8.208343390680731e-03 9.583343390680730e-03 1.657471213031780e-03 1.750000000000000e-03 8.044756236933112e-04
9 1.000000 9.583343390680730e-03 8.881877524986204e-03 1.025687752498620e-02 1.671244341782460e-03 1.750000000000000e-03 7.226937458568467e-04
10 1.125000 1.025687752498620e-02 9.476954642575504e-03 1.085195464257550e-02 1.682315127903277e-03 1.750000000000000e-03 6.523712644707080e-04
11 1.250000 1.085195464257550e-02 1.002773347784772e-02 1.137849902805377e-02 1.691405316162269e-03 1.750000000000000e-03 5.881108745004419e-04
12 1.375000 1.137849902805377e-02 1.054055059618597e-02 1.184515797345981e-02 1.698986214251410e-03 1.750000000000000e-03 5.297920380226730e-04
13 1.500000 1.184515797345981e-02 1.099900856397238e-02 1.225941226851994e-02 1.705382817654794e-03 1.750000000000000e-03 4.770918830472488e-04
14 1.625000 1.225941226851994e-02 1.140915163983061e-02 1.265915163983061e-02 1.710829390005296e-03 1.750000000000000e-03 4.296841225030264e-04
15 1.750000 1.265915163983061e-02 1.177634619595689e-02 1.302634619595689e-02 1.715500844851949e-03 1.750000000000000e-03 3.891900920937816e-04
16 1.875000 1.302634619595689e-02 1.210534245091132e-02 1.335534245091132e-02 1.719531447559528e-03 1.750000000000000e-03 3.524105699123526e-04
17 2.000000 1.335534245091132e-02 1.240033988351169e-02 1.365033988351169e-02 1.723026535814656e-03 1.750000000000000e-03 3.190541964728164e-04
18 2.125000 1.365033988351169e-02 1.266505017331824e-02 1.391505017331824e-02 1.726070204455896e-03 1.750000000000000e-03 2.888342806409167e-04
19 2.250000 1.391505017331824e-02 1.290275504578761e-02 1.415275504578761e-02 1.728730545954987e-03 1.750000000000000e-03 2.614761994589772e-04
20 2.375000 1.415275504578761e-02 1.311635816171543e-02 1.436635816171543e-02 1.731063344886554e-03 1.750000000000000e-03 2.367214745985502e-04
21 2.500000 1.436635816171543e-02 1.330843104469505e-02 1.455843104469505e-02 1.733114755840460e-03 1.750000000000000e-03 2.143297323687187e-04
22 2.625000 1.455843104469505e-02 1.348125342972433e-02 1.473125342972433e-02 1.734923289870710e-03 1.750000000000000e-03 1.940793251873699e-04
23 2.750000 1.473125342972433e-02 1.363684856910540e-02 1.488684856910540e-02 1.736521316771701e-03 1.750000000000000e-03 1.760989307403871e-04
24 2.875000 1.488684856910540e-02 1.377701406674904e-02 1.502701406674904e-02 1.737936219897325e-03 1.750000000000000e-03 1.599858816399118e-04
